Timestamp	Filename	Error	Message
2012-12-06 09:54:13.255 +0700	OnFileOpen	0	script steps imported : 1
2012-12-06 09:54:13.262 +0700	Setup.fmp12	0	Import completed
2012-12-06 10:24:46.167 +0700	Setup.fmp12	0	Import of script steps from clipboard started
2012-12-06 10:24:46.169 +0700	check_Trial_Expired	0	script steps imported : 1
2012-12-06 10:24:46.177 +0700	Setup.fmp12	0	Import completed
2012-12-06 10:54:58.960 +0700	Setup.fmp12	0	Import of script steps from clipboard started
2012-12-06 10:54:58.987 +0700	PopupWindow::7::Perform Script	104	Script “Utl - newWin CurrentInfo” missing.
2012-12-06 10:54:59.017 +0700	PopupWindow::15::Perform Script	104	Script “Utl - StatusArea ( StatusAreaState )” missing.
2012-12-06 10:54:59.046 +0700	PopupWindow::16::Perform Script	104	Script “Utl - AdjustWindow StatusDetect - Resize to fit” missing.
2012-12-06 10:54:59.056 +0700	PopupWindow::19::Perform Script	104	Script “Utl - newWin Position ( position , curWinInfo )” missing.
2012-12-06 10:54:59.064 +0700	PopupWindow::22::Perform Script	104	Script “Utl - newWin MoveWindow ( position , technique , direction )” missing.
2012-12-06 10:54:59.071 +0700	PopupWindow	0	script steps imported : 22
2012-12-06 10:54:59.079 +0700	Setup.fmp12	0	Import completed
2012-12-06 10:56:55.719 +0700	Setup.fmp12	0	Import of script steps from clipboard started
2012-12-06 10:56:55.747 +0700	New Script	0	script steps imported : 2
2012-12-06 10:56:55.753 +0700	Setup.fmp12	0	Import completed
2012-12-06 10:59:34.094 +0700	Setup.fmp12	0	Import of script steps from clipboard started
2012-12-06 10:59:34.123 +0700	StatusArea ( StatusAreaState )	0	script steps imported : 11
2012-12-06 10:59:34.152 +0700	Setup.fmp12	0	Import completed
2012-12-06 11:00:58.334 +0700	Setup.fmp12	0	Import of script steps from clipboard started
2012-12-06 11:00:58.380 +0700	AdjustWindow StatusDetect - Resize to fit	0	script steps imported : 8
2012-12-06 11:00:58.407 +0700	Setup.fmp12	0	Import completed
2012-12-06 11:02:33.090 +0700	Setup.fmp12	0	Import of script steps from clipboard started
2012-12-06 11:02:33.133 +0700	newWin Position ( position , curWinInfo )	0	script steps imported : 27
2012-12-06 11:02:33.165 +0700	Setup.fmp12	0	Import completed
2012-12-06 11:02:37.972 +0700	Setup.fmp12	0	Import of script steps from clipboard started
2012-12-06 11:02:38.002 +0700	newWin Position ( position , curWinInfo )	0	script steps imported : 27
2012-12-06 11:02:38.041 +0700	Setup.fmp12	0	Import completed
2012-12-06 11:04:31.970 +0700	Setup.fmp12	0	Import of script steps from clipboard started
